treeModel rep method clockModel mse
D750_11_10 rep076 emd trilnormcave 1.08739
D750_11_10 rep076 emd trilnorm 3.62142
D750_11_10 rep076 emd trilnormvex 2.61325
D750_11_10 rep077 emd quartlnorm 3.30701
D750_11_10 rep077 emd trilnormcave 0.609158
D750_11_10 rep077 emd trilnorm 2.27929
D750_11_10 rep077 emd trilnormvex 2.44172
D750_11_10 rep078 emd quartlnorm 2.64066
D750_11_10 rep078 emd trilnormcave 3.52725
D750_11_10 rep078 emd trilnorm 2.18745
D750_11_10 rep078 emd trilnormvex 2.02623
D750_11_10 rep079 emd quartlnorm 4.37892
D750_11_10 rep079 emd trilnormcave 2.64397
D750_11_10 rep079 emd trilnorm 3.29872
D750_11_10 rep079 emd trilnormvex 1.71995
D750_11_10 rep080 emd quartlnorm 2.39325
D750_11_10 rep080 emd trilnormcave 1.72709
D750_11_10 rep080 emd trilnorm 3.67264
D750_11_10 rep080 emd trilnormvex 3.30468
D750_11_10 rep081 emd quartlnorm 5.40821
D750_11_10 rep081 emd trilnormcave 1.62632
D750_11_10 rep081 emd trilnorm 5.98617
D750_11_10 rep081 emd trilnormvex 2.61043
D750_11_10 rep082 emd quartlnorm 4.30299
D750_11_10 rep082 emd trilnormcave 1.50206
D750_11_10 rep082 emd trilnorm 3.91464
D750_11_10 rep082 emd trilnormvex 3.81295
D750_11_10 rep083 emd quartlnorm 2.76072
D750_11_10 rep083 emd trilnormcave 1.72232
D750_11_10 rep083 emd trilnorm 2.75521
D750_11_10 rep083 emd trilnormvex 1.09997
D750_11_10 rep084 emd quartlnorm 2.78725
D750_11_10 rep084 emd trilnormcave 1.46465
D750_11_10 rep084 emd trilnorm 2.06358
D750_11_10 rep084 emd trilnormvex 1.7153
D750_11_10 rep085 emd quartlnorm 5.47781
D750_11_10 rep085 emd trilnormcave 1.06735
D750_11_10 rep085 emd trilnorm 1.8234
D750_11_10 rep085 emd trilnormvex 3.23725
D750_11_10 rep086 emd quartlnorm 2.96872
D750_11_10 rep086 emd trilnormcave 1.8727
D750_11_10 rep086 emd trilnorm 3.59429
D750_11_10 rep086 emd trilnormvex 3.44716
D750_11_10 rep087 emd quartlnorm 4.55122
D750_11_10 rep087 emd trilnormcave 1.10232
D750_11_10 rep087 emd trilnorm 2.24477
D750_11_10 rep087 emd trilnormvex 5.55951
D750_11_10 rep088 emd quartlnorm 3.92484
D750_11_10 rep088 emd trilnormcave 1.19137
D750_11_10 rep088 emd trilnorm 3.31206
D750_11_10 rep088 emd trilnormvex 3.51171
D750_11_10 rep089 emd quartlnorm 9.46581
D750_11_10 rep089 emd trilnormcave 2.17659
D750_11_10 rep089 emd trilnorm 2.78953
D750_11_10 rep089 emd trilnormvex 2.46343
D750_11_10 rep090 emd quartlnorm 4.41118
D750_11_10 rep090 emd trilnormcave 1.59251
D750_11_10 rep090 emd trilnorm 1.46787
D750_11_10 rep090 emd trilnormvex 1.43857
D750_11_10 rep091 emd quartlnorm 4.07139
D750_11_10 rep091 emd trilnormcave 2.25003
D750_11_10 rep091 emd trilnorm 2.40895
D750_11_10 rep091 emd trilnormvex 1.65333
D750_11_10 rep092 emd quartlnorm 3.40443
D750_11_10 rep092 emd trilnormcave 0.930344
D750_11_10 rep092 emd trilnorm 3.10578
D750_11_10 rep092 emd trilnormvex 4.4638
D750_11_10 rep093 emd quartlnorm 3.4835
D750_11_10 rep093 emd trilnormcave 1.66823
D750_11_10 rep093 emd trilnorm 3.99682
D750_11_10 rep093 emd trilnormvex 2.08849
D750_11_10 rep094 emd quartlnorm 3.52081
D750_11_10 rep094 emd trilnormcave 1.69899
D750_11_10 rep094 emd trilnorm 2.76767
D750_11_10 rep094 emd trilnormvex 2.76516
D750_11_10 rep095 emd quartlnorm 3.32642
D750_11_10 rep095 emd trilnormcave 2.97766
D750_11_10 rep095 emd trilnorm 2.24698
D750_11_10 rep095 emd trilnormvex 3.68611
D750_11_10 rep096 emd quartlnorm 3.08705
D750_11_10 rep096 emd trilnormcave 2.0996
D750_11_10 rep096 emd trilnorm 2.20209
D750_11_10 rep096 emd trilnormvex 3.52653
D750_11_10 rep097 emd quartlnorm 4.28793
D750_11_10 rep097 emd trilnormcave 0.974741
D750_11_10 rep097 emd trilnorm 1.72341
D750_11_10 rep097 emd trilnormvex 3.1898
D750_11_10 rep098 emd quartlnorm 6.00603
D750_11_10 rep098 emd trilnormcave 1.1426
D750_11_10 rep098 emd trilnorm 2.12565
D750_11_10 rep098 emd trilnormvex 2.80649
D750_11_10 rep099 emd quartlnorm 2.85246
D750_11_10 rep099 emd trilnormcave 1.21864
D750_11_10 rep099 emd trilnorm 2.34204
D750_11_10 rep099 emd trilnormvex 1.56664
D750_11_10 rep100 emd quartlnorm 2.74418
D750_11_10 rep100 emd trilnormcave 1.67055
D750_11_10 rep100 emd trilnorm 2.04677
D750_11_10 rep100 emd trilnormvex 2.19448
D750_3_25 rep001 emd quartlnorm 44.2469
D750_3_25 rep001 emd trilnormcave 13.3389
D750_3_25 rep001 emd trilnorm 22.2975
D750_3_25 rep001 emd trilnormvex 29.1993
D750_3_25 rep002 emd quartlnorm 88.3244
D750_3_25 rep002 emd trilnormcave 5.81204
D750_3_25 rep002 emd trilnorm 26.8827
D750_3_25 rep002 emd trilnormvex 59.7965
D750_3_25 rep003 emd quartlnorm 29.1485
D750_3_25 rep003 emd trilnormcave 16.6803
D750_3_25 rep003 emd trilnorm 804.37
D750_3_25 rep003 emd trilnormvex 95.2855
D750_3_25 rep004 emd quartlnorm 74.3486
D750_3_25 rep004 emd trilnormcave 13.3546
D750_3_25 rep004 emd trilnorm 64.3784
D750_3_25 rep004 emd trilnormvex 21.74
D750_3_25 rep005 emd quartlnorm 19.664
D750_3_25 rep005 emd trilnormcave 9.25644
D750_3_25 rep005 emd trilnorm 19.2563
D750_3_25 rep005 emd trilnormvex 27.4956
D750_3_25 rep006 emd quartlnorm 41.6732
D750_3_25 rep006 emd trilnormcave 11.713
D750_3_25 rep006 emd trilnorm 59.547
D750_3_25 rep006 emd trilnormvex 34.8159
D750_3_25 rep007 emd quartlnorm 72.4441
D750_3_25 rep007 emd trilnormcave 119.408
D750_3_25 rep007 emd trilnorm 26.2689
D750_3_25 rep007 emd trilnormvex 24.3542
D750_3_25 rep008 emd quartlnorm 51.2854
D750_3_25 rep008 emd trilnormcave 13.2501
D750_3_25 rep008 emd trilnorm 32.5195
D750_3_25 rep008 emd trilnormvex 29.9636
D750_3_25 rep009 emd quartlnorm 54.5746
D750_3_25 rep009 emd trilnormcave 12.3098
D750_3_25 rep009 emd trilnorm 30.7108
D750_3_25 rep009 emd trilnormvex 50.2372
D750_3_25 rep010 emd quartlnorm 67.0951
D750_3_25 rep010 emd trilnormcave 9.44637
D750_3_25 rep010 emd trilnorm 43.5103
D750_3_25 rep010 emd trilnormvex 28.6843
D750_3_25 rep011 emd quartlnorm 35.5589
D750_3_25 rep011 emd trilnormcave 10.9839
D750_3_25 rep011 emd trilnorm 80.8669
D750_3_25 rep011 emd trilnormvex 18.1808
D750_3_25 rep012 emd quartlnorm 28.8975
D750_3_25 rep012 emd trilnormcave 20.6641
D750_3_25 rep012 emd trilnorm 36.0679
D750_3_25 rep012 emd trilnormvex 19.0895
D750_3_25 rep013 emd quartlnorm 27.1336
