treeModel rep method clockModel tmrca
D750_11_10 rep046 lsd quartlnorm -1.7909295999999986
D750_11_10 rep046 lsd trilnormcave -0.26810899999999993
D750_11_10 rep046 lsd trilnorm 0.09187020000000024
D750_11_10 rep046 lsd trilnormvex -4.621875
D750_11_10 rep047 lsd quartlnorm 0.7290100000000002
D750_11_10 rep047 lsd trilnormcave -1.7281169999999995
D750_11_10 rep047 lsd trilnorm -0.5814539999999999
D750_11_10 rep047 lsd trilnormvex -4.965037000000001
D750_11_10 rep048 lsd quartlnorm -4.613917000000001
D750_11_10 rep048 lsd trilnormcave -3.6335499999999996
D750_11_10 rep048 lsd trilnorm -5.349232
D750_11_10 rep048 lsd trilnormvex -0.011160999999999754
D750_11_10 rep049 lsd quartlnorm -6.408182000000001
D750_11_10 rep049 lsd trilnormcave -1.9119500000000031
D750_11_10 rep049 lsd trilnorm -4.148762000000002
D750_11_10 rep049 lsd trilnormvex 2.268940399999998
D750_11_10 rep050 lsd quartlnorm -3.0877469999999994
D750_11_10 rep050 lsd trilnormcave -3.328162999999999
D750_11_10 rep050 lsd trilnorm 2.709271
D750_11_10 rep050 lsd trilnormvex -0.08250700000000055
D750_11_10 rep051 lsd quartlnorm -4.437315
D750_11_10 rep051 lsd trilnormcave 0.060832999999999915
D750_11_10 rep051 lsd trilnorm -5.971137
D750_11_10 rep051 lsd trilnormvex -5.367707
D750_11_10 rep052 lsd quartlnorm -9.16063
D750_11_10 rep052 lsd trilnormcave -4.4002669999999995
D750_11_10 rep052 lsd trilnorm -5.838557
D750_11_10 rep052 lsd trilnormvex -4.224467
D750_11_10 rep053 lsd quartlnorm -6.5289790000000005
D750_11_10 rep053 lsd trilnormcave -0.5209220000000029
D750_11_10 rep053 lsd trilnorm -1.7496373000000003
D750_11_10 rep053 lsd trilnormvex -2.6118520000000003
D750_11_10 rep054 lsd quartlnorm 1.0220262999999987
D750_11_10 rep054 lsd trilnormcave -3.034149
D750_11_10 rep054 lsd trilnorm -4.578457
D750_11_10 rep054 lsd trilnormvex -2.582802000000004
D750_11_10 rep055 lsd quartlnorm -5.5111870000000005
D750_11_10 rep055 lsd trilnormcave -7.533467000000001
D750_11_10 rep055 lsd trilnorm -7.755196999999999
D750_11_10 rep055 lsd trilnormvex -1.8380370000000004
D750_11_10 rep056 lsd quartlnorm -5.096386
D750_11_10 rep056 lsd trilnormcave -3.0388209999999996
D750_11_10 rep056 lsd trilnorm -1.0892270000000002
D750_11_10 rep056 lsd trilnormvex -4.277158
D750_11_10 rep057 lsd quartlnorm -2.0190769999999993
D750_11_10 rep057 lsd trilnormcave 0.44199700000000064
D750_11_10 rep057 lsd trilnorm -1.9721939999999996
D750_11_10 rep057 lsd trilnormvex 0.06443800000000088
D750_11_10 rep058 lsd quartlnorm -6.181737
D750_11_10 rep058 lsd trilnormcave -2.5670569999999993
D750_11_10 rep058 lsd trilnorm -4.8392935999999995
D750_11_10 rep058 lsd trilnormvex -6.872997000000001
D750_11_10 rep059 lsd quartlnorm -3.167592
D750_11_10 rep059 lsd trilnormcave -0.9734559999999999
D750_11_10 rep059 lsd trilnorm -6.4843910000000005
D750_11_10 rep059 lsd trilnormvex -3.4061199999999996
D750_11_10 rep060 lsd quartlnorm -2.2927170000000006
D750_11_10 rep060 lsd trilnormcave -2.2054269999999994
D750_11_10 rep060 lsd trilnorm -1.0511039999999992
D750_11_10 rep060 lsd trilnormvex -2.4883180000000005
D750_11_10 rep061 lsd quartlnorm -5.847767000000002
D750_11_10 rep061 lsd trilnormcave -2.9920940000000025
D750_11_10 rep061 lsd trilnorm -0.04007400000000025
D750_11_10 rep061 lsd trilnormvex -1.3776870000000032
D750_11_10 rep062 lsd quartlnorm -3.548377000000001
D750_11_10 rep062 lsd trilnormcave -0.6853279999999997
D750_11_10 rep062 lsd trilnorm -1.6133469999999996
