treeModel clockModel method rep error
D750_11_10 exp wLogDate rep044 1.53840460304838
D750_11_10 exp MD-Cat rep044 1.275281864172341
D750_11_10 unif wLogDate rep045 1.0146000125125785
D750_11_10 unif MD-Cat rep045 0.8744204183693417
D750_11_10 lognorm wLogDate rep045 0.3739307575131367
D750_11_10 lognorm MD-Cat rep045 0.39116086049104826
D750_11_10 gamma wLogDate rep045 0.35711518369369005
D750_11_10 gamma MD-Cat rep045 0.33756081101082247
D750_11_10 exp wLogDate rep045 1.5475704782021966
D750_11_10 exp MD-Cat rep045 1.4658877392906136
D750_11_10 unif wLogDate rep046 1.251483019823308
D750_11_10 unif MD-Cat rep046 1.407623746514698
D750_11_10 lognorm wLogDate rep046 0.34196895381901055
D750_11_10 lognorm MD-Cat rep046 0.4213441734870842
D750_11_10 gamma wLogDate rep046 0.36619738243522065
D750_11_10 gamma MD-Cat rep046 0.3938736215439505
D750_11_10 exp wLogDate rep046 1.2972226269108775
D750_11_10 exp MD-Cat rep046 1.140707109368408
D750_11_10 unif wLogDate rep047 1.3563841086166302
D750_11_10 unif MD-Cat rep047 1.6029971843750608
D750_11_10 lognorm wLogDate rep047 0.8272151748577061
D750_11_10 lognorm MD-Cat rep047 0.4132339402414245
D750_11_10 gamma wLogDate rep047 0.7264435569481825
D750_11_10 gamma MD-Cat rep047 0.4123282763774763
D750_11_10 exp wLogDate rep047 1.528777426353847
D750_11_10 exp MD-Cat rep047 1.2265824285229838
D750_11_10 unif wLogDate rep048 0.94760944485596
D750_11_10 unif MD-Cat rep048 1.0176950881316478
D750_11_10 lognorm wLogDate rep048 0.3380955558038335
D750_11_10 lognorm MD-Cat rep048 0.44016924233520843
D750_11_10 gamma wLogDate rep048 0.630240479945621
D750_11_10 gamma MD-Cat rep048 0.4346489056682759
D750_11_10 exp wLogDate rep048 1.7044142275048149
D750_11_10 exp MD-Cat rep048 1.7726088788106233
D750_11_10 unif wLogDate rep049 1.2415463925158126
D750_11_10 unif MD-Cat rep049 1.0926638233450852
D750_11_10 lognorm wLogDate rep049 0.3816750346841806
D750_11_10 lognorm MD-Cat rep049 0.4087121316515031
D750_11_10 gamma wLogDate rep049 0.34463383323190494
D750_11_10 gamma MD-Cat rep049 0.43848741217917014
D750_11_10 exp wLogDate rep049 1.6857166059613764
D750_11_10 exp MD-Cat rep049 1.6006134228394606
D750_11_10 unif wLogDate rep050 0.9933108060107075
D750_11_10 unif MD-Cat rep050 1.1398126074771975
D750_11_10 lognorm wLogDate rep050 0.34667137419436017
D750_11_10 lognorm MD-Cat rep050 0.40825827466256426
D750_11_10 gamma wLogDate rep050 0.6132873403851985
D750_11_10 gamma MD-Cat rep050 0.41717342662647716
D750_11_10 exp wLogDate rep050 1.7937829788576038
D750_11_10 exp MD-Cat rep050 1.2403700001186517
D750_11_10 unif wLogDate rep051 1.2827345720021552
D750_11_10 unif MD-Cat rep051 1.3977194302837748
D750_11_10 lognorm wLogDate rep051 0.33036660477508606
D750_11_10 lognorm MD-Cat rep051 0.3549759123678332
