"scenario" "rep" "k" "nodeName" "trueNodeAge" "estNodeAge" "error"
"224" "scenario1" "rep001" 25 "I8" 7.23236 8.8639 0.0116538571428571
"225" "scenario1" "rep001" 25 "I9" 16.9771 71.4342 0.388979285714286
"301" "scenario1" "rep001" 3 "I0" 0 4.9434 0.03531
"302" "scenario1" "rep001" 3 "I1" 1.89772 5.1975 0.0235698571428571
"303" "scenario1" "rep001" 3 "I10" 24.4452 81.1934 0.405344285714286
"304" "scenario1" "rep001" 3 "I11" 8.33087 7.6938 0.0045505
"305" "scenario1" "rep001" 3 "I12" 52.2788 27.2029 0.179113571428571
"306" "scenario1" "rep001" 3 "I13" 8.5159 7.9047 0.00436571428571429
"307" "scenario1" "rep001" 3 "I14" 36.5605 38.6165 0.0146857142857143
"308" "scenario1" "rep001" 3 "I15" 9.61193 8.1023 0.0107830714285714
"309" "scenario1" "rep001" 3 "I16" 18.552 21.7276 0.0226828571428571
"310" "scenario1" "rep001" 3 "I17" 64.4724 85.646 0.15124
"311" "scenario1" "rep001" 3 "I18" 7.12688 7.5023 0.00268157142857143
"312" "scenario1" "rep001" 3 "I19" 12.9639 7.8681 0.0363985714285714
"313" "scenario1" "rep001" 3 "I2" 45.1116 18.8848 0.187334285714286
"314" "scenario1" "rep001" 3 "I20" 16.3031 10.4838 0.0415664285714286
"315" "scenario1" "rep001" 3 "I21" 24.8599 41.8966 0.121690714285714
"316" "scenario1" "rep001" 3 "I22" 30.0471 42.1145 0.0861957142857143
"317" "scenario1" "rep001" 3 "I23" 32.4873 44.4919 0.0857471428571429
"318" "scenario1" "rep001" 3 "I24" 31.6844 42.834 0.07964
"319" "scenario1" "rep001" 3 "I25" 33.9221 44.4936 0.0755107142857143
"320" "scenario1" "rep001" 3 "I26" 37.7111 45.0206 0.0522107142857143
"321" "scenario1" "rep001" 3 "I27" 39.3061 45.3032 0.0428364285714285
"322" "scenario1" "rep001" 3 "I28" 49.2904 49.6512 0.00257714285714289
"323" "scenario1" "rep001" 3 "I29" 54.541 48.3514 0.0442114285714286
"324" "scenario1" "rep001" 3 "I3" 53.1728 106.8799 0.383622142857143
"325" "scenario1" "rep001" 3 "I30" 8.64398 7.746 0.00641414285714286
"326" "scenario1" "rep001" 3 "I31" 18.7662 47.2132 0.203192857142857
"327" "scenario1" "rep001" 3 "I32" 20.3792 47.5133 0.193815
"328" "scenario1" "rep001" 3 "I33" 39.6276 129.3733 0.641040714285714
"329" "scenario1" "rep001" 3 "I34" 15.3699 13.7612 0.0114907142857143
"330" "scenario1" "rep001" 3 "I35" 16.5318 28.7996 0.0876271428571429
"331" "scenario1" "rep001" 3 "I36" 17.1885 14.9093 0.01628
"332" "scenario1" "rep001" 3 "I37" 18.0794 15.2073 0.020515
"333" "scenario1" "rep001" 3 "I38" 24.2807 41.5255 0.123177142857143
"334" "scenario1" "rep001" 3 "I39" 25.3912 41.8521 0.117577857142857
"335" "scenario1" "rep001" 3 "I4" 4.29313 6.1504 0.0132662142857143
"336" "scenario1" "rep001" 3 "I40" 26.2688 42.2601 0.114223571428571
"337" "scenario1" "rep001" 3 "I41" 27.3794 43.7481 0.116919285714286
"338" "scenario1" "rep001" 3 "I42" 33.9127 46.081 0.0869164285714286
"339" "scenario1" "rep001" 3 "I43" 41.7203 50.7461 0.06447
"340" "scenario1" "rep001" 3 "I44" 43.2265 69.8858 0.190423571428571
"341" "scenario1" "rep001" 3 "I45" 48.2767 71.5773 0.166432857142857
"342" "scenario1" "rep001" 3 "I46" 56.6923 71.8504 0.108272142857143
"343" "scenario1" "rep001" 3 "I47" 76.9586 77.3208 0.00258714285714287
"344" "scenario1" "rep001" 3 "I48" 79.3105 77.8147 0.0106842857142857
"345" "scenario1" "rep001" 3 "I49" 52.3546 71.8773 0.139447857142857
"346" "scenario1" "rep001" 3 "I5" 9.33696 13.293 0.0282574285714286
"347" "scenario1" "rep001" 3 "I50" 58.469 115.2378 0.405491428571429
"348" "scenario1" "rep001" 3 "I51" 83.0134 131.1842 0.344077142857143
"349" "scenario1" "rep001" 3 "I52" 83.4521 131.5115 0.343281428571429
"350" "scenario1" "rep001" 3 "I53" 83.7694 132.1229 0.345382142857143
"351" "scenario1" "rep001" 3 "I54" 87.5096 133.6616 0.329657142857143
"352" "scenario1" "rep001" 3 "I55" 26.0402 42.0916 0.114652857142857
"353" "scenario1" "rep001" 3 "I56" 26.8496 42.5728 0.112308571428571
"354" "scenario1" "rep001" 3 "I57" 28.4881 42.8573 0.102637142857143
"355" "scenario1" "rep001" 3 "I58" 45.7523 43.1557 0.0185471428571428
"356" "scenario1" "rep001" 3 "I59" 89.2963 101.7813 0.0891785714285714
"357" "scenario1" "rep001" 3 "I6" 33.1967 41.8086 0.0615135714285714
"358" "scenario1" "rep001" 3 "I60" 31.2313 42.8143 0.0827357142857143
"359" "scenario1" "rep001" 3 "I61" 31.807 50.5463 0.133852142857143
"360" "scenario1" "rep001" 3 "I62" 34.9944 51.2096 0.115822857142857
"361" "scenario1" "rep001" 3 "I63" 32.6694 50.8428 0.12981
"362" "scenario1" "rep001" 3 "I64" 33.8687 54.0332 0.144032142857143
"363" "scenario1" "rep001" 3 "I65" 41.6289 83.2381 0.297208571428571
"364" "scenario1" "rep001" 3 "I66" 44.4088 89.1155 0.319333571428571
"365" "scenario1" "rep001" 3 "I67" 55.5269 125.3883 0.49901
"366" "scenario1" "rep001" 3 "I68" 33.642 43.063 0.0672928571428571
"367" "scenario1" "rep001" 3 "I69" 33.6432 43.3134 0.0690728571428572
"368" "scenario1" "rep001" 3 "I7" 6.9627 7.203 0.00171642857142857
"369" "scenario1" "rep001" 3 "I70" 39.5374 107.5756 0.485987142857143
"370" "scenario1" "rep001" 3 "I71" 41.25 108.3649 0.479392142857143
"371" "scenario1" "rep001" 3 "I72" 35.6755 43.5406 0.0561792857142857
"372" "scenario1" "rep001" 3 "I73" 36.3187 43.9497 0.0545071428571429
"373" "scenario1" "rep001" 3 "I74" 37.3101 44.1418 0.0487978571428572
"374" "scenario1" "rep001" 3 "I8" 7.23236 7.4519 0.00156814285714286
"375" "scenario1" "rep001" 3 "I9" 16.9771 56.6411 0.283314285714286
"376" "scenario1" "rep001" 50 "I0" 0 -7.9442 0.0567442857142857
"377" "scenario1" "rep001" 50 "I1" 1.89772 -7.0517 0.0639244285714286
"378" "scenario1" "rep001" 50 "I10" 24.4452 23.8612 0.00417142857142857
"379" "scenario1" "rep001" 50 "I11" 8.33087 7.6998 0.00450764285714287
"380" "scenario1" "rep001" 50 "I12" 52.2788 31.3632 0.149397142857143
"381" "scenario1" "rep001" 50 "I13" 8.5159 8.7456 0.00164071428571428
"382" "scenario1" "rep001" 50 "I14" 36.5605 38.1572 0.011405
"383" "scenario1" "rep001" 50 "I15" 9.61193 9.6611 0.000351214285714287
"384" "scenario1" "rep001" 50 "I16" 18.552 22.4988 0.0281914285714286
"385" "scenario1" "rep001" 50 "I17" 64.4724 69.4404 0.0354857142857143
"386" "scenario1" "rep001" 50 "I18" 7.12688 5.9806 0.00818771428571429
"387" "scenario1" "rep001" 50 "I19" 12.9639 6.6354 0.0452035714285714
"388" "scenario1" "rep001" 50 "I2" 45.1116 19.0842 0.18591
"389" "scenario1" "rep001" 50 "I20" 16.3031 16.2059 0.00069428571428572
"390" "scenario1" "rep001" 50 "I21" 24.8599 22.0472 0.0200907142857143
"391" "scenario1" "rep001" 50 "I22" 30.0471 23.2469 0.0485728571428571
"392" "scenario1" "rep001" 50 "I23" 32.4873 37.1461 0.0332771428571429
"393" "scenario1" "rep001" 50 "I24" 31.6844 27.2042 0.0320014285714286
"394" "scenario1" "rep001" 50 "I25" 33.9221 42.1951 0.0590928571428571
"395" "scenario1" "rep001" 50 "I26" 37.7111 45.1764 0.0533235714285714
"396" "scenario1" "rep001" 50 "I27" 39.3061 45.5918 0.0448978571428571
"397" "scenario1" "rep001" 50 "I28" 49.2904 63.8387 0.103916428571429
"398" "scenario1" "rep001" 50 "I29" 54.541 54.9942 0.00323714285714288
"399" "scenario1" "rep001" 50 "I3" 53.1728 41.4895 0.0834521428571429
"400" "scenario1" "rep001" 50 "I30" 8.64398 7.0024 0.0117255714285714
"401" "scenario1" "rep001" 50 "I31" 18.7662 19.1716 0.00289571428571429
"402" "scenario1" "rep001" 50 "I32" 20.3792 20.2688 0.000788571428571443
"403" "scenario1" "rep001" 50 "I33" 39.6276 60.1732 0.146754285714286
"404" "scenario1" "rep001" 50 "I34" 15.3699 14.3035 0.00761714285714286
"405" "scenario1" "rep001" 50 "I35" 16.5318 17.7727 0.00886357142857143
"406" "scenario1" "rep001" 50 "I36" 17.1885 19.0344 0.013185
"407" "scenario1" "rep001" 50 "I37" 18.0794 19.9978 0.0137028571428572
"408" "scenario1" "rep001" 50 "I38" 24.2807 26.23 0.0139235714285714
"409" "scenario1" "rep001" 50 "I39" 25.3912 27.2789 0.0134835714285714
"410" "scenario1" "rep001" 50 "I4" 4.29313 -0.4042 0.0335523571428571
"411" "scenario1" "rep001" 50 "I40" 26.2688 28.0111 0.012445
"412" "scenario1" "rep001" 50 "I41" 27.3794 31.3962 0.0286914285714286
"413" "scenario1" "rep001" 50 "I42" 33.9127 36.81 0.020695
"414" "scenario1" "rep001" 50 "I43" 41.7203 47.9589 0.0445614285714286
"415" "scenario1" "rep001" 50 "I44" 43.2265 53.1497 0.07088
"416" "scenario1" "rep001" 50 "I45" 48.2767 61.4037 0.0937642857142857
"417" "scenario1" "rep001" 50 "I46" 56.6923 61.8139 0.0365828571428571
"418" "scenario1" "rep001" 50 "I47" 76.9586 83.7462 0.0484828571428571
"419" "scenario1" "rep001" 50 "I48" 79.3105 84.8482 0.039555
"420" "scenario1" "rep001" 50 "I49" 52.3546 62.871 0.0751171428571429
"421" "scenario1" "rep001" 50 "I5" 9.33696 12.4374 0.022146
"422" "scenario1" "rep001" 50 "I50" 58.469 88.9018 0.217377142857143
"423" "scenario1" "rep001" 50 "I51" 83.0134 109.6902 0.190548571428571
"424" "scenario1" "rep001" 50 "I52" 83.4521 110.6186 0.194046428571429
"425" "scenario1" "rep001" 50 "I53" 83.7694 112.4784 0.205064285714286
"426" "scenario1" "rep001" 50 "I54" 87.5096 121.8548 0.245322857142857
