treeModel rep clockModel k_input k_uniq
D750_11_10 rep013 trilnorm 25 4
D750_11_10 rep013 trilnorm 2 2
D750_11_10 rep013 trilnorm 3 3
D750_11_10 rep013 trilnorm 50 4
D750_11_10 rep013 trilnorm 5 3
D750_11_10 rep013 trilnormvex 100 5
D750_11_10 rep013 trilnormvex 10 4
D750_11_10 rep013 trilnormvex 1 1
D750_11_10 rep013 trilnormvex 218 5
D750_11_10 rep013 trilnormvex 25 5
D750_11_10 rep013 trilnormvex 2 2
D750_11_10 rep013 trilnormvex 3 3
D750_11_10 rep013 trilnormvex 50 4
D750_11_10 rep013 trilnormvex 5 4
D750_11_10 rep013 trilnormvex 75 6
D750_11_10 rep014 trilnormcave 100 5
D750_11_10 rep014 trilnormcave 10 4
D750_11_10 rep014 trilnormcave 1 1
D750_11_10 rep014 trilnormcave 218 5
D750_11_10 rep014 trilnormcave 25 4
D750_11_10 rep014 trilnormcave 2 2
D750_11_10 rep014 trilnormcave 3 3
D750_11_10 rep014 trilnormcave 50 4
D750_11_10 rep014 trilnormcave 5 4
D750_11_10 rep014 trilnorm 100 4
D750_11_10 rep014 trilnorm 10 4
D750_11_10 rep014 trilnorm 1 1
D750_11_10 rep014 trilnorm 218 5
D750_11_10 rep014 trilnorm 25 4
D750_11_10 rep014 trilnorm 2 2
D750_11_10 rep014 trilnorm 3 3
D750_11_10 rep014 trilnorm 50 4
D750_11_10 rep014 trilnorm 5 3
D750_11_10 rep014 trilnormvex 100 7
D750_11_10 rep014 trilnormvex 10 5
D750_11_10 rep014 trilnormvex 1 1
D750_11_10 rep014 trilnormvex 218 9
D750_11_10 rep014 trilnormvex 25 6
D750_11_10 rep014 trilnormvex 2 2
D750_11_10 rep014 trilnormvex 3 3
D750_11_10 rep014 trilnormvex 50 9
D750_11_10 rep014 trilnormvex 5 3
D750_11_10 rep014 trilnormvex 75 10
D750_11_10 rep015 trilnormcave 100 8
D750_11_10 rep015 trilnormcave 10 8
D750_11_10 rep015 trilnormcave 1 1
D750_11_10 rep015 trilnormcave 218 6
D750_11_10 rep015 trilnormcave 25 5
D750_11_10 rep015 trilnormcave 2 2
D750_11_10 rep015 trilnormcave 3 3
D750_11_10 rep015 trilnormcave 50 5
D750_11_10 rep015 trilnormcave 5 3
D750_11_10 rep015 trilnorm 100 5
D750_11_10 rep015 trilnorm 10 4
D750_11_10 rep015 trilnorm 1 1
D750_11_10 rep015 trilnorm 218 9
D750_11_10 rep015 trilnorm 25 5
D750_11_10 rep015 trilnorm 2 2
D750_11_10 rep015 trilnorm 3 3
D750_11_10 rep015 trilnorm 50 6
D750_11_10 rep015 trilnorm 5 3
D750_11_10 rep015 trilnormvex 100 3
D750_11_10 rep015 trilnormvex 10 3
D750_11_10 rep015 trilnormvex 1 1
D750_11_10 rep015 trilnormvex 218 3
D750_11_10 rep015 trilnormvex 25 4
D750_11_10 rep015 trilnormvex 2 2
D750_11_10 rep015 trilnormvex 3 3
D750_11_10 rep015 trilnormvex 50 3
D750_11_10 rep015 trilnormvex 5 3
D750_11_10 rep015 trilnormvex 75 4
D750_11_10 rep016 trilnormcave 100 6
D750_11_10 rep016 trilnormcave 10 3
D750_11_10 rep016 trilnormcave 1 1
D750_11_10 rep016 trilnormcave 218 7
D750_11_10 rep016 trilnormcave 25 6
D750_11_10 rep016 trilnormcave 2 2
D750_11_10 rep016 trilnormcave 3 3
D750_11_10 rep016 trilnormcave 50 5
D750_11_10 rep016 trilnormcave 5 3
D750_11_10 rep016 trilnorm 100 4
D750_11_10 rep016 trilnorm 10 4
D750_11_10 rep016 trilnorm 1 1
D750_11_10 rep016 trilnorm 218 6
D750_11_10 rep016 trilnorm 25 4
D750_11_10 rep016 trilnorm 2 2
D750_11_10 rep016 trilnorm 3 3
D750_11_10 rep016 trilnorm 50 4
D750_11_10 rep016 trilnorm 5 3
D750_11_10 rep016 trilnormvex 100 9
D750_11_10 rep016 trilnormvex 10 6
D750_11_10 rep016 trilnormvex 1 1
D750_11_10 rep016 trilnormvex 218 7
D750_11_10 rep016 trilnormvex 25 7
D750_11_10 rep016 trilnormvex 2 2
D750_11_10 rep016 trilnormvex 3 3
D750_11_10 rep016 trilnormvex 50 7
D750_11_10 rep016 trilnormvex 5 4
D750_11_10 rep016 trilnormvex 75 7
D750_11_10 rep017 trilnormcave 100 6
D750_11_10 rep017 trilnormcave 10 3
D750_11_10 rep017 trilnormcave 1 1
D750_11_10 rep017 trilnormcave 218 5
D750_11_10 rep017 trilnormcave 25 5
D750_11_10 rep017 trilnormcave 2 2
D750_11_10 rep017 trilnormcave 3 3
D750_11_10 rep017 trilnormcave 50 8
D750_11_10 rep017 trilnormcave 5 3
D750_11_10 rep017 trilnorm 100 10
D750_11_10 rep017 trilnorm 10 7
D750_11_10 rep017 trilnorm 1 1
D750_11_10 rep017 trilnorm 218 11
D750_11_10 rep017 trilnorm 25 8
D750_11_10 rep017 trilnorm 2 2
D750_11_10 rep017 trilnorm 3 3
D750_11_10 rep017 trilnorm 50 8
D750_11_10 rep017 trilnorm 5 3
D750_11_10 rep017 trilnormvex 100 7
D750_11_10 rep017 trilnormvex 10 5
D750_11_10 rep017 trilnormvex 1 1
D750_11_10 rep017 trilnormvex 218 10
D750_11_10 rep017 trilnormvex 25 5
D750_11_10 rep017 trilnormvex 2 2
D750_11_10 rep017 trilnormvex 3 3
D750_11_10 rep017 trilnormvex 50 10
D750_11_10 rep017 trilnormvex 5 4
D750_11_10 rep017 trilnormvex 75 6
D750_11_10 rep018 trilnormcave 100 4
D750_11_10 rep018 trilnormcave 10 4
D750_11_10 rep018 trilnormcave 1 1
D750_11_10 rep018 trilnormcave 218 4
D750_11_10 rep018 trilnormcave 25 4
D750_11_10 rep018 trilnormcave 2 2
D750_11_10 rep018 trilnormcave 3 3
