treeModel rep clockModel nodeID trueAge estAge p0025 p0975
D750_11_10 rep001 trilnorm I47 2.6415 1.0356 -1.7374 4.0878
D750_11_10 rep001 trilnorm I48 3.34812 1.6511 -0.6832 4.0888
D750_11_10 rep001 trilnorm I49 4.12251 2.5585 0.3646 6.2254
D750_11_10 rep001 trilnorm I5 6.83624 2.0902 -0.3931 9.3824
D750_11_10 rep001 trilnorm I50 5.33835 3.6012 1.7991 8.0677
D750_11_10 rep001 trilnorm I51 5.72717 4.2296 3.0295 9.5893
D750_11_10 rep001 trilnorm I52 5.70912 3.7467 1.9534 8.743
D750_11_10 rep001 trilnorm I53 6.0332 3.901 2.014 8.744
D750_11_10 rep001 trilnorm I54 9.03916 8.8288 5.6622 13.6751
D750_11_10 rep001 trilnorm I55 16.8311 17.102 12.1908 22.6598
D750_11_10 rep001 trilnorm I56 12.4395 15.1768 14.5927 17.3657
D750_11_10 rep001 trilnorm I57 17.1673 16.698 15.819 19.24
D750_11_10 rep001 trilnorm I58 22.7648 22.2018 20.6021 23.1192
D750_11_10 rep001 trilnorm I59 4.32553 2.941 0.7336 7.5029
D750_11_10 rep001 trilnorm I6 4.50349 1.5647 -1.5311 5.9169
D750_11_10 rep001 trilnorm I60 6.09013 3.3434 0.7913 7.504
D750_11_10 rep001 trilnorm I61 25.2353 24.8307 24.7928 25.3657
D750_11_10 rep001 trilnorm I62 18.0335 21.0158 9.4943 21.9064
D750_11_10 rep001 trilnorm I63 3.43838 1.7623 -0.5383 4.0898
D750_11_10 rep001 trilnorm I64 15.3782 14.8599 11.055 17.3656
D750_11_10 rep001 trilnorm I65 17.4343 15.4677 14.585 19.4983
D750_11_10 rep001 trilnorm I66 20.3401 19.0849 18.2222 20.922
D750_11_10 rep001 trilnorm I67 3.7518 2.0949 -0.4217 4.0908
D750_11_10 rep001 trilnorm I68 3.88622 2.8106 0.0242 4.0918
D750_11_10 rep001 trilnorm I69 6.04765 6.0662 2.2534 6.7663
D750_11_10 rep001 trilnorm I7 12.472 12.2546 12.2535 17.7374
D750_11_10 rep001 trilnorm I70 9.55557 10.5163 4.6502 10.5147
D750_11_10 rep001 trilnorm I71 21.81 23.2779 23.3656 23.3657
D750_11_10 rep001 trilnorm I72 25.4232 25.6172 24.379 26.8104
D750_11_10 rep001 trilnorm I73 12.4146 12.6541 8.7851 13.3657
D750_11_10 rep001 trilnorm I74 6.80255 6.875 3.2196 9.1134
D750_11_10 rep001 trilnorm I75 15.2758 12.2071 4.427 15.8293
D750_11_10 rep001 trilnorm I76 24.5478 23.6344 13.5023 24.876
D750_11_10 rep001 trilnorm I77 5.16384 5.526 2.0525 9.4163
D750_11_10 rep001 trilnorm I78 8.51169 6.7096 3.554 9.442
