scenario rep k nodeName trueNodeAge estNodeAge
scenario1 rep004 3 I15 9.61193 8.773
scenario1 rep004 3 I16 18.552 17.413
scenario1 rep004 3 I17 64.4724 80.092
scenario1 rep004 3 I18 7.12688 7.5722
scenario1 rep004 3 I19 12.9639 8.3325
scenario1 rep004 3 I2 45.1116 43.9165
scenario1 rep004 3 I20 16.3031 9.8379
scenario1 rep004 3 I21 24.8599 15.606
scenario1 rep004 3 I22 30.0471 44.1486
scenario1 rep004 3 I23 32.4873 77.3665
scenario1 rep004 3 I24 31.6844 44.9152
scenario1 rep004 3 I25 33.9221 45.6039
scenario1 rep004 3 I26 37.7111 45.8181
scenario1 rep004 3 I27 39.3061 47.065
scenario1 rep004 3 I28 49.2904 57.6155
scenario1 rep004 3 I29 54.541 60.6295
scenario1 rep004 3 I3 53.1728 54.7058
scenario1 rep004 3 I30 8.64398 13.0779
scenario1 rep004 3 I31 18.7662 24.8926
scenario1 rep004 3 I32 20.3792 25.3273
scenario1 rep004 3 I33 39.6276 73.1629
scenario1 rep004 3 I34 15.3699 31.251
scenario1 rep004 3 I35 16.5318 31.6107
scenario1 rep004 3 I36 17.1885 31.603
scenario1 rep004 3 I37 18.0794 31.9813
scenario1 rep004 3 I38 24.2807 39.9821
scenario1 rep004 3 I39 25.3912 40.2156
scenario1 rep004 3 I4 4.29313 6.1012
scenario1 rep004 3 I40 26.2688 40.5558
scenario1 rep004 3 I41 27.3794 40.9501
scenario1 rep004 3 I42 33.9127 42.8998
scenario1 rep004 3 I43 41.7203 45.8944
scenario1 rep004 3 I44 43.2265 47.5042
scenario1 rep004 3 I45 48.2767 69.9614
scenario1 rep004 3 I46 56.6923 71.4912
scenario1 rep004 3 I47 76.9586 96.2886
scenario1 rep004 3 I48 79.3105 116.8583
scenario1 rep004 3 I49 52.3546 71.7388
scenario1 rep004 3 I5 9.33696 11.739
scenario1 rep004 3 I50 58.469 108.5009
scenario1 rep004 3 I51 83.0134 115.7776
scenario1 rep004 3 I52 83.4521 116.1596
scenario1 rep004 3 I53 83.7694 127.0389
scenario1 rep004 3 I54 87.5096 127.4464
scenario1 rep004 3 I55 26.0402 40.8773
scenario1 rep004 3 I56 26.8496 41.5306
scenario1 rep004 3 I57 28.4881 41.9477
scenario1 rep004 3 I58 45.7523 45.0557
scenario1 rep004 3 I59 89.2963 87.4377
scenario1 rep004 3 I6 33.1967 18.5606
scenario1 rep004 3 I60 31.2313 41.7143
scenario1 rep004 3 I61 31.807 46.1071
scenario1 rep004 3 I62 34.9944 47.549
scenario1 rep004 3 I63 32.6694 63.3823
scenario1 rep004 3 I64 33.8687 64.1371
scenario1 rep004 3 I65 41.6289 89.9965
scenario1 rep004 3 I66 44.4088 90.9411
scenario1 rep004 3 I67 55.5269 91.259
scenario1 rep004 3 I68 33.642 42.1156
scenario1 rep004 3 I69 33.6432 42.2832
scenario1 rep004 3 I7 6.9627 7.0893
scenario1 rep004 3 I70 39.5374 42.6218
scenario1 rep004 3 I71 41.25 43.4775
scenario1 rep004 3 I72 35.6755 43.5102
scenario1 rep004 3 I73 36.3187 43.641
scenario1 rep004 3 I74 37.3101 43.744
scenario1 rep004 3 I8 7.23236 7.733
scenario1 rep004 3 I9 16.9771 43.2937
scenario1 rep005 3 I0 0 -264.3437
scenario1 rep005 3 I1 1.89772 -263.9857
scenario1 rep005 3 I10 24.4452 -254.0587
scenario1 rep005 3 I11 8.33087 4.572
scenario1 rep005 3 I12 52.2788 114.5923
scenario1 rep005 3 I13 8.5159 11.7469
scenario1 rep005 3 I14 36.5605 38.6201
scenario1 rep005 3 I15 9.61193 12.0178
scenario1 rep005 3 I16 18.552 40.849
scenario1 rep005 3 I17 64.4724 64.7541
scenario1 rep005 3 I18 7.12688 -261.5531
scenario1 rep005 3 I19 12.9639 -261.5521
scenario1 rep005 3 I2 45.1116 71.9647
scenario1 rep005 3 I20 16.3031 -261.5511
scenario1 rep005 3 I21 24.8599 -261.5501
scenario1 rep005 3 I22 30.0471 21.975
scenario1 rep005 3 I23 32.4873 35.5123
scenario1 rep005 3 I24 31.6844 22.2946
scenario1 rep005 3 I25 33.9221 24.1337
scenario1 rep005 3 I26 37.7111 36.6485
scenario1 rep005 3 I27 39.3061 37.821
scenario1 rep005 3 I28 49.2904 38.0605
scenario1 rep005 3 I29 54.541 68.3327
scenario1 rep005 3 I3 53.1728 84.9
scenario1 rep005 3 I30 8.64398 -176.6418
scenario1 rep005 3 I31 18.7662 20.7869
scenario1 rep005 3 I32 20.3792 59.802
scenario1 rep005 3 I33 39.6276 59.9816
scenario1 rep005 3 I34 15.3699 13.8532
scenario1 rep005 3 I35 16.5318 30.5824
scenario1 rep005 3 I36 17.1885 34.081
scenario1 rep005 3 I37 18.0794 34.1774
scenario1 rep005 3 I38 24.2807 36.6172
scenario1 rep005 3 I39 25.3912 37.2969
scenario1 rep005 3 I4 4.29313 -263.0122
scenario1 rep005 3 I40 26.2688 37.9685
scenario1 rep005 3 I41 27.3794 38.8256
scenario1 rep005 3 I42 33.9127 51.5228
scenario1 rep005 3 I43 41.7203 51.8287
scenario1 rep005 3 I44 43.2265 70.3793
scenario1 rep005 3 I45 48.2767 70.9637
scenario1 rep005 3 I46 56.6923 78.9269
scenario1 rep005 3 I47 76.9586 123.0683
scenario1 rep005 3 I48 79.3105 129.0471
scenario1 rep005 3 I49 52.3546 71.8957
scenario1 rep005 3 I5 9.33696 -55.899
scenario1 rep005 3 I50 58.469 72.5023
scenario1 rep005 3 I51 83.0134 111.6356
scenario1 rep005 3 I52 83.4521 111.672
scenario1 rep005 3 I53 83.7694 112.0645
scenario1 rep005 3 I54 87.5096 112.262
scenario1 rep005 3 I55 26.0402 37.562
scenario1 rep005 3 I56 26.8496 37.7401
scenario1 rep005 3 I57 28.4881 83.9058
scenario1 rep005 3 I58 45.7523 88.3265
scenario1 rep005 3 I59 89.2963 92.5189
scenario1 rep005 3 I6 33.1967 98.5813
scenario1 rep005 3 I60 31.2313 40.8062
scenario1 rep005 3 I61 31.807 46.6248
scenario1 rep005 3 I62 34.9944 49.5718
scenario1 rep005 3 I63 32.6694 72.756
scenario1 rep005 3 I64 33.8687 73.1037
scenario1 rep005 3 I65 41.6289 76.372
scenario1 rep005 3 I66 44.4088 77.6704
scenario1 rep005 3 I67 55.5269 105.2934
scenario1 rep005 3 I68 33.642 40.9789
scenario1 rep005 3 I69 33.6432 41.1635
scenario1 rep005 3 I7 6.9627 -261.6833
scenario1 rep005 3 I70 39.5374 63.4913
scenario1 rep005 3 I71 41.25 63.8549
scenario1 rep005 3 I72 35.6755 41.3624
scenario1 rep005 3 I73 36.3187 41.5577
scenario1 rep005 3 I74 37.3101 41.6418
scenario1 rep005 3 I8 7.23236 -261.2827
scenario1 rep005 3 I9 16.9771 -260.4644
scenario1 rep006 3 I0 0 -29.3685
scenario1 rep006 3 I1 1.89772 -28.7811
scenario1 rep006 3 I10 24.4452 -15.8045
scenario1 rep006 3 I11 8.33087 -7.111
scenario1 rep006 3 I12 52.2788 71.6417
scenario1 rep006 3 I13 8.5159 -0.2998
scenario1 rep006 3 I14 36.5605 37.288
scenario1 rep006 3 I15 9.61193 0.3039
scenario1 rep006 3 I16 18.552 6.1499
scenario1 rep006 3 I17 64.4724 25.9951
scenario1 rep006 3 I18 7.12688 -27.5883
scenario1 rep006 3 I19 12.9639 -27.5873
scenario1 rep006 3 I2 45.1116 32.7906
scenario1 rep006 3 I20 16.3031 -27.5863
scenario1 rep006 3 I21 24.8599 -27.5853
scenario1 rep006 3 I22 30.0471 -27.5843
scenario1 rep006 3 I23 32.4873 -27.4868
