clockModel rep method brName estLength trueLength
scenario1 rep001 BEAST_rcla Saururus 66.061 75.5275
scenario1 rep001 BEAST_rcla Schisandra 97.1921 106.803
scenario1 rep001 BEAST_rcla Serenoa 86.9706 87.0001
scenario1 rep001 BEAST_rcla Sparganium 61.0549 61.0683
scenario1 rep001 BEAST_rcla Spathiphyllum 113.4868 113.5
scenario1 rep001 BEAST_rcla Spinacia 105.2016 106.087
scenario1 rep001 BEAST_rcla Tapiscia 79.5417 95.5911
scenario1 rep001 BEAST_rcla Terminalia 87.5036 87.3001
scenario1 rep001 BEAST_rcla Tricolpites 7.0027 4.85603
scenario1 rep001 BEAST_rcla Trimenia 126.5064 126.5
scenario1 rep001 BEAST_rcla Trithuria 126.5004 126.5
scenario1 rep001 BEAST_rcla Trochodendron 121.695 122.811
scenario1 rep001 BEAST_rcla Typha 61.0549 61.0685
scenario1 rep001 BEAST_rcla Typhaceae 21.7989 24.3907
scenario1 rep001 BEAST_rcla Virginianthus 22.9756 24.1841
scenario1 rep001 BEAST_rcla Vitis 103.5831 111.512
scenario1 rep001 BEAST_rcla Walkerpollis 2.8973 3.88808
scenario1 rep001 BEAST_rcla Ximenia 114.3077 113.731
scenario1 rep001 BEAST_lognorm Acer 72.1002 98.3711
scenario1 rep001 BEAST_lognorm Acorus 149.4178 127.036
scenario1 rep001 BEAST_lognorm Amborella 192.3287 140
scenario1 rep001 BEAST_lognorm Anacostia 10.228 4.16305
scenario1 rep001 BEAST_lognorm Antirrhinum 42.7472 60.6895
scenario1 rep001 BEAST_lognorm Apostasia 110.2798 106.078
scenario1 rep001 BEAST_lognorm Aquifoliaceae 8.9691 21.1453
scenario1 rep001 BEAST_lognorm Araceae 27.8661 10.197
scenario1 rep001 BEAST_lognorm Archaefructus 53.0966 11.6023
scenario1 rep001 BEAST_lognorm Arecales 18.368 15.2889
scenario1 rep001 BEAST_lognorm Asarum 98.9806 121.448
scenario1 rep001 BEAST_lognorm Ascarina 83.7446 115.555
scenario1 rep001 BEAST_lognorm Atherosperma 103.3231 103.44
scenario1 rep001 BEAST_lognorm Aucuba 74.0505 83.3077
scenario1 rep001 BEAST_lognorm Austrobaileya 136.7252 130.663
scenario1 rep001 BEAST_lognorm Berberidopsis 107.9343 112.621
scenario1 rep001 BEAST_lognorm Brasenia 94.8715 94.8882
scenario1 rep001 BEAST_lognorm Brunia 27.9036 56.548
scenario1 rep001 BEAST_lognorm Bulnesia 106.2853 106.358
scenario1 rep001 BEAST_lognorm Calamus 86.9882 86.9999
scenario1 rep001 BEAST_lognorm Calycanthus 107.5194 107.3
scenario1 rep001 BEAST_lognorm Canella 126.4873 126.5
scenario1 rep001 BEAST_lognorm Carya 94.9796 95.1
scenario1 rep001 BEAST_lognorm Ceratophyllum 145.2402 131.356
scenario1 rep001 BEAST_lognorm Chloranthus 83.7446 115.555
scenario1 rep001 BEAST_lognorm Cleome 43.2525 84.4731
scenario1 rep001 BEAST_lognorm Cocculus 51.0388 100.372
scenario1 rep001 BEAST_lognorm Coptis 51.0388 100.372
