scenario method rep error
scenario1 wLogDate rep093 1.1022353185340577
scenario1 MD-Cat rep093 0.6849876058640909
scenario1 wLogDate rep094 1.3394599016887347
scenario1 MD-Cat rep094 0.6266188102618814
scenario1 wLogDate rep095 1.0210222003076161
scenario1 MD-Cat rep095 0.6380424462396165
scenario1 wLogDate rep096 1.4460019209642625
scenario1 MD-Cat rep096 0.7850750662810544
scenario1 wLogDate rep097 0.9812432927017927
scenario1 MD-Cat rep097 0.9029579977753229
scenario1 wLogDate rep098 0.7589860182081439
scenario1 MD-Cat rep098 0.6826897845030103
scenario1 wLogDate rep099 1.6963346488449744
scenario1 MD-Cat rep099 0.6708945439863869
scenario1 wLogDate rep100 1.4817455835757976
scenario1 MD-Cat rep100 0.7456188758749257
scenario2 wLogDate rep001 1.4142628386984084
scenario2 MD-Cat rep001 0.7804073034784571
scenario2 wLogDate rep002 1.7455183177307536
scenario2 MD-Cat rep002 0.8909994316250254
scenario2 wLogDate rep003 2.0024790131902517
scenario2 MD-Cat rep003 0.937462169007053
scenario2 wLogDate rep004 2.262069965680479
scenario2 MD-Cat rep004 1.0090161583474297
scenario2 wLogDate rep005 2.327335356381465
scenario2 MD-Cat rep005 0.7685311916894706
scenario2 wLogDate rep006 2.0047980234477474
scenario2 MD-Cat rep006 0.9035936354234427
scenario2 wLogDate rep007 2.010835130528868
scenario2 MD-Cat rep007 0.7673985996223811
scenario2 wLogDate rep008 1.9649578894629391
scenario2 MD-Cat rep008 1.0220223219168492
scenario2 wLogDate rep009 1.6813056227666374
scenario2 MD-Cat rep009 0.8751707935503116
scenario2 wLogDate rep010 1.7532316994714374
scenario2 MD-Cat rep010 0.6955567389046973
scenario2 wLogDate rep011 2.116634725145639
scenario2 MD-Cat rep011 0.6642343017115571
scenario2 wLogDate rep012 1.57329031627346
scenario2 MD-Cat rep012 0.8461527197253738
scenario2 wLogDate rep013 2.003864723560392
scenario2 MD-Cat rep013 0.8277022621881679
scenario2 wLogDate rep014 2.4089799070795292
scenario2 MD-Cat rep014 0.8816040080037312
scenario2 wLogDate rep015 1.393613799940973
scenario2 MD-Cat rep015 0.8658381362940436
scenario2 wLogDate rep016 2.2513655556109593
scenario2 MD-Cat rep016 0.9938892951660145
scenario2 wLogDate rep017 2.370786685606574
scenario2 MD-Cat rep017 1.0225844972028393
scenario2 wLogDate rep018 1.9028861099470313
scenario2 MD-Cat rep018 0.8191400332631738
scenario2 wLogDate rep019 1.7287851304273474
scenario2 MD-Cat rep019 0.8818890151216663
scenario2 wLogDate rep020 1.9740413652333133
scenario2 MD-Cat rep020 0.917257012850664
scenario2 wLogDate rep021 1.6968209026065
scenario2 MD-Cat rep021 0.7863016879963496
scenario2 wLogDate rep022 1.8478328379664177
scenario2 MD-Cat rep022 0.8205144092421424
scenario2 wLogDate rep023 2.5326118224618974
scenario2 MD-Cat rep023 0.9106484123377185
scenario2 wLogDate rep024 1.8231200005279846
scenario2 MD-Cat rep024 0.8000945249860902
scenario2 wLogDate rep025 1.8387481872939895
scenario2 MD-Cat rep025 0.8841526750909603
scenario2 wLogDate rep026 1.6402633974920875
scenario2 MD-Cat rep026 0.7779229902511828
scenario2 wLogDate rep027 2.5107802141740585
scenario2 MD-Cat rep027 1.1047953654232903
scenario2 wLogDate rep028 1.6688497625140783
scenario2 MD-Cat rep028 1.1035348345051854
scenario2 wLogDate rep029 2.510207391597952
scenario2 MD-Cat rep029 0.9006377578730409
scenario2 wLogDate rep030 2.037050106179426
scenario2 MD-Cat rep030 0.77667538614209
scenario2 wLogDate rep031 1.9953524422405915
scenario2 MD-Cat rep031 0.7590052211320858
scenario2 wLogDate rep032 1.5389931096893061
scenario2 MD-Cat rep032 0.9085745935902354
scenario2 wLogDate rep033 1.6709663005522943
scenario2 MD-Cat rep033 1.084270411103463
scenario2 wLogDate rep034 2.0909418921936074
scenario2 MD-Cat rep034 0.8109042040907242
scenario2 wLogDate rep035 2.525739282332326
scenario2 MD-Cat rep035 1.017016794968603
scenario2 wLogDate rep036 2.1797928479035287
scenario2 MD-Cat rep036 0.909039210103442
scenario2 wLogDate rep037 1.3402560763024418
scenario2 MD-Cat rep037 0.892618878827105
scenario2 wLogDate rep038 0.9079286207878136
scenario2 MD-Cat rep038 0.8640232270080459
scenario2 wLogDate rep039 2.158521081233318
scenario2 MD-Cat rep039 0.9732392159128594
scenario2 wLogDate rep040 2.0890240033423177
scenario2 MD-Cat rep040 1.0270620708026723
scenario2 wLogDate rep041 1.5332685033525895
scenario2 MD-Cat rep041 0.9970727392937442
scenario2 wLogDate rep042 2.1008002401972843
scenario2 MD-Cat rep042 0.7299230562214797
scenario2 wLogDate rep043 2.1771467675299676
scenario2 MD-Cat rep043 1.0767880044458908
scenario2 wLogDate rep044 1.4284459723371836
scenario2 MD-Cat rep044 0.8538836695595646
scenario2 wLogDate rep045 1.6927690604433303
scenario2 MD-Cat rep045 0.8492518722357887
scenario2 wLogDate rep046 2.094254536337358
scenario2 MD-Cat rep046 0.8195895321041168
scenario2 wLogDate rep047 2.2056497944738074
scenario2 MD-Cat rep047 0.9292288792144837
scenario2 wLogDate rep048 1.8995272065934035
scenario2 MD-Cat rep048 0.9963658033423547
scenario2 wLogDate rep049 1.9615568195314548
scenario2 MD-Cat rep049 0.9792293986758089
scenario2 wLogDate rep050 1.3387901052370814
scenario2 MD-Cat rep050 0.8390139924177208
scenario2 wLogDate rep051 1.1005911695793702
scenario2 MD-Cat rep051 0.6686495611540697
scenario2 wLogDate rep052 1.4907375307659434
scenario2 MD-Cat rep052 0.9700890964904186
scenario2 wLogDate rep053 1.9003580176771466
scenario2 MD-Cat rep053 0.8982144194765773
scenario2 wLogDate rep054 2.415724203617223
scenario2 MD-Cat rep054 0.9620061082528127
scenario2 wLogDate rep055 2.386812575030582
scenario2 MD-Cat rep055 1.0836106700108035
scenario2 wLogDate rep056 2.203706362718257
scenario2 MD-Cat rep056 0.8668655060408421
scenario2 wLogDate rep057 2.338752935211558
scenario2 MD-Cat rep057 0.9699293288125793
scenario2 wLogDate rep058 2.074798444912217
scenario2 MD-Cat rep058 0.9677578857441347
scenario2 wLogDate rep059 2.1244922937942086
scenario2 MD-Cat rep059 1.0063786469795655
scenario2 wLogDate rep060 2.2311323942616843
scenario2 MD-Cat rep060 0.7050442980153817
scenario2 wLogDate rep061 2.2881584247554803
scenario2 MD-Cat rep061 0.8169756647527064
scenario2 wLogDate rep062 1.9273216597464926
scenario2 MD-Cat rep062 1.1591892615828177
scenario2 wLogDate rep063 1.7947445146252077
scenario2 MD-Cat rep063 0.8449435588117815
scenario2 wLogDate rep064 1.5590873310586697
scenario2 MD-Cat rep064 1.0883651934481888
scenario2 wLogDate rep065 2.0222056586407584
scenario2 MD-Cat rep065 0.6421091011958587
scenario2 wLogDate rep066 2.0885234145006377
scenario2 MD-Cat rep066 1.2387682725177462
scenario2 wLogDate rep067 1.9729474547261416
scenario2 MD-Cat rep067 0.9294973030674156
scenario2 wLogDate rep068 2.179258825874502
scenario2 MD-Cat rep068 0.7895613249929202
scenario2 wLogDate rep069 2.247620368197702
scenario2 MD-Cat rep069 0.66418330454661
scenario2 wLogDate rep070 1.9980122780277156
scenario2 MD-Cat rep070 0.8444355962676352
scenario2 wLogDate rep071 2.236333496440095
scenario2 MD-Cat rep071 0.760716691628846
scenario2 wLogDate rep072 1.8154625374898634
scenario2 MD-Cat rep072 0.8956419463907105
scenario2 wLogDate rep073 2.7099373974269496
scenario2 MD-Cat rep073 0.7670835555505916
scenario2 wLogDate rep074 2.0608716646891985
scenario2 MD-Cat rep074 1.0285902364443067
scenario2 wLogDate rep075 1.7522961367882917
scenario2 MD-Cat rep075 0.9691930363345468
scenario2 wLogDate rep076 1.6408030572441028
scenario2 MD-Cat rep076 0.8012829021839722
scenario2 wLogDate rep077 1.620074073387183
scenario2 MD-Cat rep077 0.8061995908251451
scenario2 wLogDate rep078 2.1559456760189084
scenario2 MD-Cat rep078 0.8287880541160288
scenario2 wLogDate rep079 1.3066097536149368
scenario2 MD-Cat rep079 0.8572223552920054
scenario2 wLogDate rep080 1.47449145552204
scenario2 MD-Cat rep080 0.952030396687778
scenario2 wLogDate rep081 2.2629337360248845
scenario2 MD-Cat rep081 0.9439100310030475
scenario2 wLogDate rep082 1.8416913084319164
scenario2 MD-Cat rep082 0.8104292656671741
scenario2 wLogDate rep083 1.7313357609238795
scenario2 MD-Cat rep083 0.9926010063559697
scenario2 wLogDate rep084 1.4919248021763656
scenario2 MD-Cat rep084 0.9654417755183468
scenario2 wLogDate rep085 2.1297604768536766
scenario2 MD-Cat rep085 0.8247905475826622
scenario2 wLogDate rep086 1.6654349014670886
scenario2 MD-Cat rep086 0.8090177337108325
scenario2 wLogDate rep087 1.644681884871441
scenario2 MD-Cat rep087 0.9057315614554705
scenario2 wLogDate rep088 1.9548516710560035
scenario2 MD-Cat rep088 0.822270394328411
scenario2 wLogDate rep089 1.4751544155512673
scenario2 MD-Cat rep089 0.931529430520047
scenario2 wLogDate rep090 2.0595822380268998
scenario2 MD-Cat rep090 1.038993532596788
scenario2 wLogDate rep091 2.2618493607325645
scenario2 MD-Cat rep091 1.014387388891191
scenario2 wLogDate rep092 1.8356354623625015
scenario2 MD-Cat rep092 0.6918850370624019
scenario2 wLogDate rep093 2.0181978997708767
scenario2 MD-Cat rep093 0.918461668481582
scenario2 wLogDate rep094 2.0644631630496715
scenario2 MD-Cat rep094 0.9194877480042535
scenario2 wLogDate rep095 1.2729291478452338
scenario2 MD-Cat rep095 0.9168360558213008
scenario2 wLogDate rep096 1.569543590750499
scenario2 MD-Cat rep096 0.9432575445897325
scenario2 wLogDate rep097 2.43142429057352
