clockModel rep method tmrca
scenario1 rep066 BEAST_rcla -44.224377866098735
scenario1 rep066 BEAST_lnorm -74.18564356193386
scenario1 rep066 BEAST_strict -35.855983877140204
scenario1 rep067 BEAST_rcla -45.793527131790995
scenario1 rep067 BEAST_lnorm -82.1797433282201
scenario1 rep067 BEAST_strict -46.18633974995859
scenario1 rep068 BEAST_rcla -68.9012699453871
scenario1 rep068 BEAST_lnorm -65.14482534858777
scenario1 rep068 BEAST_strict -32.20493616643682
scenario1 rep069 BEAST_rcla -37.499112155702534
scenario1 rep069 BEAST_lnorm -68.6125154408671
scenario1 rep069 BEAST_strict -19.192655200787954
scenario1 rep070 BEAST_rcla -68.09755578822379
scenario1 rep070 BEAST_lnorm -62.88937050902865
scenario1 rep070 BEAST_strict -54.98709607438221
scenario1 rep071 BEAST_rcla -38.8316790942647
scenario1 rep071 BEAST_lnorm -64.64164885512471
scenario1 rep071 BEAST_strict -29.74822233788737
scenario1 rep072 BEAST_rcla -62.92857375526978
scenario1 rep072 BEAST_lnorm -130.51895641755755
scenario1 rep072 BEAST_strict -121.37523696536789
scenario1 rep073 BEAST_rcla -36.59369875914646
scenario1 rep073 BEAST_lnorm -71.74903380841741
scenario1 rep073 BEAST_strict -55.57574002866008
scenario1 rep074 BEAST_rcla -47.05229805478561
scenario1 rep074 BEAST_lnorm -96.51071371660183
scenario1 rep074 BEAST_strict -46.496867679748334
scenario1 rep075 BEAST_rcla -21.38463411227781
scenario1 rep075 BEAST_lnorm -87.26958930026942
scenario1 rep075 BEAST_strict -53.657238653060745
scenario1 rep076 BEAST_rcla -52.61265322437217
scenario1 rep076 BEAST_lnorm -73.91390783589975
scenario1 rep076 BEAST_strict -53.38292752351495
scenario1 rep077 BEAST_rcla -20.196428536457034
scenario1 rep077 BEAST_lnorm -76.82202707210018
scenario1 rep077 BEAST_strict -27.288412868015428
scenario1 rep078 BEAST_rcla -87.670853808657
scenario1 rep078 BEAST_lnorm -73.02958976924185
scenario1 rep078 BEAST_strict -82.93493340830682
scenario1 rep079 BEAST_rcla -38.92535761703604
scenario1 rep079 BEAST_lnorm -48.80288906747663
scenario1 rep079 BEAST_strict -19.150876025400407
scenario1 rep080 BEAST_rcla -33.161658187041525
scenario1 rep080 BEAST_lnorm -70.20361314905475
scenario1 rep080 BEAST_strict -52.30314637182647
scenario1 rep081 BEAST_rcla -25.64424665741157
scenario1 rep081 BEAST_lnorm -87.46604591287317
scenario1 rep081 BEAST_strict -39.39667214078193
scenario1 rep082 BEAST_rcla -38.333790493246966
scenario1 rep082 BEAST_lnorm -94.60692764279389
scenario1 rep082 BEAST_strict -69.1405470528614
scenario1 rep083 BEAST_rcla -52.058181384890645
scenario1 rep083 BEAST_lnorm -55.68022966934109
scenario1 rep083 BEAST_strict -27.97816198865391
scenario1 rep084 BEAST_rcla -39.71556155596966
scenario1 rep084 BEAST_lnorm -46.97008386905404
scenario1 rep084 BEAST_strict -20.631063803332324
scenario1 rep085 BEAST_rcla -29.12187513331412
scenario1 rep085 BEAST_lnorm -90.65519310288931
scenario1 rep085 BEAST_strict -43.80021722125815
scenario1 rep086 BEAST_rcla -73.85138030728572
scenario1 rep086 BEAST_lnorm -104.9538897255787
scenario1 rep086 BEAST_strict -52.435236041130224
scenario1 rep087 BEAST_rcla -68.04206128896203
scenario1 rep087 BEAST_lnorm -72.4510745636668
scenario1 rep087 BEAST_strict -48.391058438365036
scenario1 rep088 BEAST_rcla -47.93057444403672
scenario1 rep088 BEAST_lnorm -63.8634166423447
scenario1 rep088 BEAST_strict -38.965990709193846
scenario1 rep089 BEAST_rcla -31.16171895636063
scenario1 rep089 BEAST_lnorm -54.3550512574613
scenario1 rep089 BEAST_strict -19.861534745659924
scenario1 rep090 BEAST_rcla -42.74000594804474
scenario1 rep090 BEAST_lnorm -68.61664947372262
scenario1 rep090 BEAST_strict -26.380627722456637
scenario1 rep091 BEAST_rcla -40.83597700774135
scenario1 rep091 BEAST_lnorm -89.305991748238
scenario1 rep091 BEAST_strict -55.96235348994921
scenario1 rep092 BEAST_rcla -34.069975858783295
scenario1 rep092 BEAST_lnorm -88.12416601099775
scenario1 rep092 BEAST_strict -37.63296740637301
scenario1 rep093 BEAST_rcla -102.02551013690254
scenario1 rep093 BEAST_lnorm -99.490376709553
scenario1 rep093 BEAST_strict -151.7102873883686
scenario1 rep094 BEAST_rcla -32.560310908090884
scenario1 rep094 BEAST_lnorm -62.72173601038634
scenario1 rep094 BEAST_strict -26.603461660181807
scenario1 rep095 BEAST_rcla -64.85388262040385
scenario1 rep095 BEAST_lnorm -94.31239614716003
scenario1 rep095 BEAST_strict -64.97127380994704
scenario1 rep096 BEAST_rcla -39.37273949972962
scenario1 rep096 BEAST_lnorm -63.5001610115483
scenario1 rep096 BEAST_strict -25.161215915866933
scenario1 rep097 BEAST_rcla -36.188979616361564
scenario1 rep097 BEAST_lnorm -89.34000371991343
scenario1 rep097 BEAST_strict -37.842995474294526
scenario1 rep098 BEAST_rcla -8.56274651458395
scenario1 rep098 BEAST_lnorm -76.09252747108744
scenario1 rep098 BEAST_strict -53.206476989877814
scenario1 rep099 BEAST_rcla -56.306429103271114
scenario1 rep099 BEAST_lnorm -102.66610943282032
scenario1 rep099 BEAST_strict -45.19077458614018
scenario1 rep100 BEAST_rcla -12.907832784423817
scenario1 rep100 BEAST_lnorm -47.157975134284754
scenario1 rep100 BEAST_strict -25.039240445776812
