clockModel rep method tmrca
scenario4 rep087 emd -0.3372
scenario4 rep088 emd 6.7917
scenario4 rep089 emd 4.6382
scenario4 rep090 emd -4.6839
scenario4 rep091 emd 4.8852
scenario4 rep092 emd 2.8135
scenario4 rep093 emd 2.3524
scenario4 rep094 emd 7.1092
scenario4 rep095 emd 3.3529
scenario4 rep096 emd 3.2011
scenario4 rep097 emd 9.2336
scenario4 rep098 emd -8.1283
scenario4 rep099 emd -2.6982
scenario4 rep100 emd 4.7566
scenario5 rep001 emd 3.1876
scenario5 rep002 emd -8.6929
scenario5 rep003 emd -80.5828
scenario5 rep004 emd 0.7927
scenario5 rep005 emd 2.5865
scenario5 rep006 emd 7.0666
scenario5 rep007 emd -0.7703
scenario5 rep008 emd 5.1257
scenario5 rep009 emd -3.1229
scenario5 rep010 emd -6.8564
scenario5 rep011 emd -0.7137
scenario5 rep012 emd -48.1253
scenario5 rep013 emd 3.491
scenario5 rep014 emd 9.8278
scenario5 rep015 emd -8.4372
scenario5 rep016 emd 4.0491
scenario5 rep017 emd -2.2085
scenario5 rep018 emd 7.877
scenario5 rep019 emd 6.8488
scenario5 rep020 emd 2.9346
scenario5 rep021 emd -2.3581
scenario5 rep022 emd 6.6528
scenario5 rep023 emd 5.2652
scenario5 rep024 emd 2.8509
scenario5 rep025 emd 0.9084
scenario5 rep026 emd -9.4719
scenario5 rep027 emd -0.2936
scenario5 rep028 emd -10.8324
scenario5 rep029 emd 6.0322
scenario5 rep030 emd 8.4536
scenario5 rep031 emd -41.976
scenario5 rep032 emd -4.1723
scenario5 rep033 emd 2.5783
scenario5 rep034 emd 0.0853
scenario5 rep035 emd -3.5732
scenario5 rep036 emd -0.9422
scenario5 rep037 emd 5.6112
scenario5 rep038 emd -15.2337
scenario5 rep039 emd 3.9985
scenario5 rep040 emd 3.5864
scenario5 rep041 emd -1.8558
scenario5 rep042 emd 6.2782
scenario5 rep043 emd 6.5018
scenario5 rep044 emd 3.5954
scenario5 rep045 emd 6.8942
scenario5 rep046 emd 9.6257
scenario5 rep047 emd 1.6858
scenario5 rep048 emd 3.8513
scenario5 rep049 emd 2.7539
scenario5 rep050 emd 0.7995
scenario5 rep051 emd -12.4196
scenario5 rep052 emd -5.351
scenario5 rep053 emd -1.2174
scenario5 rep054 emd 3.3762
scenario5 rep055 emd 2.5187
scenario5 rep056 emd -2.4374
scenario5 rep057 emd -0.8519
scenario5 rep058 emd 1.617
scenario5 rep059 emd -0.3596
scenario5 rep060 emd -24.7639
scenario5 rep061 emd -6.0221
scenario5 rep062 emd -35.785
scenario5 rep063 emd 1.0718
scenario5 rep064 emd 1.6761
scenario5 rep065 emd -23.141
scenario5 rep066 emd -14.3406
scenario5 rep067 emd -14.1337
scenario5 rep068 emd 2.9354
scenario5 rep069 emd -10.9033
scenario5 rep070 emd -9.5153
scenario5 rep071 emd 1.672
scenario5 rep072 emd -16.4753
scenario5 rep073 emd -2.8153
scenario5 rep074 emd -12.8846
scenario5 rep075 emd 3.8878
scenario5 rep076 emd -11.986
scenario5 rep077 emd -9.3098
scenario5 rep078 emd -1.2805
scenario5 rep079 emd 4.1502
scenario5 rep080 emd 3.1575
scenario5 rep081 emd 5.6804
scenario5 rep082 emd 2.459
scenario5 rep083 emd -0.4204
scenario5 rep084 emd 4.0721
scenario5 rep085 emd -12.8737
scenario5 rep086 emd -3.2162
scenario5 rep087 emd -6.5344
scenario5 rep088 emd -8.2555
scenario5 rep089 emd 3.0776
scenario5 rep090 emd 6.6694
scenario5 rep091 emd 0.4671
scenario5 rep092 emd 4.3508
scenario5 rep093 emd 1.1936
scenario5 rep094 emd 0.4654
scenario5 rep095 emd -2.7458
scenario5 rep096 emd 6.8617
scenario5 rep097 emd -3.2163
scenario5 rep098 emd 3.4246
scenario5 rep099 emd 5.6698
scenario5 rep100 emd -27.2612
scenario1 rep001 wlogdate -2.6735248960162608
scenario1 rep002 wlogdate 4.462656129367588
scenario1 rep003 wlogdate -27.866024981780328
scenario1 rep004 wlogdate -68.80546978579267
scenario1 rep005 wlogdate -313.6906333694133
scenario1 rep006 wlogdate -44.10102873485752
scenario1 rep007 wlogdate -12.567745829541735
scenario1 rep008 wlogdate -3.6037074949982184
scenario1 rep009 wlogdate -57.707104108404195
scenario1 rep010 wlogdate -45.3508366154839
scenario1 rep011 wlogdate -23.995678594137757
scenario1 rep012 wlogdate -2.107233707625312
scenario1 rep013 wlogdate -82.94277965146881
scenario1 rep014 wlogdate -32.145904247600356
scenario1 rep015 wlogdate 9.536262546236145
scenario1 rep016 wlogdate 2.3039190222902164
scenario1 rep017 wlogdate 9.69295602330402
scenario1 rep018 wlogdate -1.1600505562461194
scenario1 rep019 wlogdate -2.980217430252509
scenario1 rep020 wlogdate -18.334792814619163
scenario1 rep021 wlogdate 2.2374738706517405
scenario1 rep022 wlogdate -11.407082795364602
scenario1 rep023 wlogdate 5.638191418379648
scenario1 rep024 wlogdate -59.48098952039268
scenario1 rep025 wlogdate -100.42051810088898
scenario1 rep026 wlogdate -31.776082972021584
scenario1 rep027 wlogdate -4.878200144270011
scenario1 rep028 wlogdate 2.5386255414086634
scenario1 rep029 wlogdate -4.497283228521411
scenario1 rep030 wlogdate -67.16618847699706
scenario1 rep031 wlogdate 5.336639100603492
scenario1 rep032 wlogdate 5.879537487695956
scenario1 rep033 wlogdate -9.144632404255503
scenario1 rep034 wlogdate 4.86698890056212
scenario1 rep035 wlogdate -27.00704551887219
scenario1 rep036 wlogdate -36.30752855084211
scenario1 rep037 wlogdate -84.9271156266264
scenario1 rep038 wlogdate 5.093596139337478
