scenario method rep error
scenario5 BEAST_lnorm rep041 1.78684
scenario5 BEAST_lnorm rep042 1.75736
scenario5 BEAST_lnorm rep043 1.89452
scenario5 BEAST_lnorm rep044 1.70696
scenario5 BEAST_lnorm rep045 1.73643
scenario5 BEAST_lnorm rep046 1.64733
scenario5 BEAST_lnorm rep047 1.6863
scenario5 BEAST_lnorm rep048 1.81393
scenario5 BEAST_lnorm rep049 1.82678
scenario5 BEAST_lnorm rep050 1.69324
scenario5 BEAST_lnorm rep051 1.66472
scenario5 BEAST_lnorm rep052 1.81349
scenario5 BEAST_lnorm rep053 1.64112
scenario5 BEAST_lnorm rep054 1.762
scenario5 BEAST_lnorm rep055 1.88516
scenario5 BEAST_lnorm rep056 1.75551
scenario5 BEAST_lnorm rep057 1.85463
scenario5 BEAST_lnorm rep058 1.85834
scenario5 BEAST_lnorm rep059 1.72837
scenario5 BEAST_lnorm rep060 1.83069
scenario5 BEAST_lnorm rep061 1.75667
scenario5 BEAST_lnorm rep062 1.64177
scenario5 BEAST_lnorm rep063 1.75686
scenario5 BEAST_lnorm rep064 1.8541
scenario5 BEAST_lnorm rep065 1.70814
scenario5 BEAST_lnorm rep066 1.70163
scenario5 BEAST_lnorm rep067 1.79852
scenario5 BEAST_lnorm rep068 1.69012
scenario5 BEAST_lnorm rep069 1.90516
scenario5 BEAST_lnorm rep070 1.81457
scenario5 BEAST_lnorm rep071 1.87907
scenario5 BEAST_lnorm rep072 1.80303
scenario5 BEAST_lnorm rep073 1.74703
scenario5 BEAST_lnorm rep074 1.72751
scenario5 BEAST_lnorm rep075 1.65091
scenario5 BEAST_lnorm rep076 1.88516
scenario5 BEAST_lnorm rep077 1.64464
scenario5 BEAST_lnorm rep078 1.84251
scenario5 BEAST_lnorm rep079 1.78748
scenario5 BEAST_lnorm rep080 1.67658
scenario5 BEAST_lnorm rep081 1.88467
scenario5 BEAST_lnorm rep082 1.67785
scenario5 BEAST_lnorm rep083 1.68852
scenario5 BEAST_lnorm rep084 1.67856
scenario5 BEAST_lnorm rep085 1.87262
scenario5 BEAST_lnorm rep086 1.7234
scenario5 BEAST_lnorm rep087 1.73102
